iso3,country,status,pr_rating,cl_rating,a1,a2,a3,a,b1,b2,b3,b4,b,c1,c2,c3,c,pr,d1,d2,d3,d4,d,e1,e2,e3,e,f1,f2,f3,f4,f,g1,g2,g3,g4,g,cl,total
COG,Congo (Brazzaville),NF,7,6,0,0,0,0,1,0,0,1,2,0,0,0,0,2,1,3,1,1,6,0,0,2,2,0,1,0,0,1,2,2,1,1,6,15,17
COD,Congo (Kinshasa),NF,7,6,0,1,0,1,1,0,0,1,2,0,1,0,1,4,1,3,2,1,7,1,1,1,3,1,0,0,0,1,1,1,1,0,3,14,18
CRI,Costa Rica,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,38,4,4,4,4,16,4,4,3,11,4,3,3,3,13,4,3,3,3,13,53,91
CIV,Cote d'Ivoire,PF,4,4,2,2,2,6,3,2,2,2,9,2,1,1,4,19,2,3,2,3,10,2,2,3,7,1,1,2,2,6,2,2,1,2,7,30,49
HRV,Croatia,F,2,2,4,4,4,12,4,4,3,3,14,4,2,2,8,34,2,3,3,4,12,4,4,4,12,3,3,3,2,11,4,3,3,3,13,48,82
CUB,Cuba,NF,7,6,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,3,0,0,3,0,0,0,0,0,0,0,1,1,1,1,2,1,5,9,10
CYP,Cyprus,F,1,1,4,4,4,12,4,4,4,3,15,4,3,4,11,38,4,4,3,4,15,4,3,4,11,4,4,4,2,14,3,3,4,3,13,53,91
CZE,Czech Republic,F,1,1,4,4,4,12,4,4,4,3,15,4,3,3,10,37,4,4,4,4,16,4,4,4,12,4,4,4,3,15,4,4,4,3,15,58,95
DNK,Denmark,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,40,4,4,4,4,16,4,4,4,12,4,3,4,3,14,4,4,3,4,15,57,97
DJI,Djibouti,NF,7,5,0,1,1,2,1,0,1,1,3,0,0,0,0,5,0,2,2,2,6,0,1,2,3,0,2,1,1,4,2,2,1,1,6,19,24
DMA,Dominica,F,1,1,4,4,3,11,4,4,4,4,16,4,3,3,10,37,3,4,4,4,15,3,4,4,11,4,3,4,3,14,4,4,3,4,15,55,92
DOM,Dominican Republic,PF,3,3,3,3,3,9,4,3,3,1,11,3,2,2,7,27,2,4,4,4,14,3,4,3,10,3,2,2,1,8,2,3,2,2,9,41,68
ECU,Ecuador,PF,3,3,4,4,3,11,3,3,2,3,11,2,2,2,6,28,2,4,3,3,12,3,3,3,9,2,2,1,2,7,2,2,3,2,9,37,65
EGY,Egypt,NF,6,6,0,1,1,2,0,0,1,1,2,0,1,1,2,6,0,1,1,1,3,0,0,1,1,1,0,0,1,2,1,2,2,1,6,12,18
SLV,El Salvador,PF,5,4,2,2,2,6,2,2,2,3,9,2,0,0,2,17,2,4,3,2,11,3,2,1,6,0,0,1,2,3,3,3,2,2,10,30,47
GNQ,Equatorial Guinea,NF,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,1,1,1,0,3,5,5
ERI,Eritrea,NF,7,7,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,3
EST,Estonia,F,1,1,4,4,4,12,4,4,4,3,15,4,4,4,12,39,4,4,4,4,16,4,4,4,12,4,4,3,3,14,4,4,4,3,15,57,96
SWZ,Eswatini,NF,7,6,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,2,1,1,5,0,1,1,2,2,1,0,1,4,2,1,1,1,5,16,17
ETH,Ethiopia,NF,6,6,1,1,2,4,1,0,1,1,3,1,1,1,3,8,1,1,1,1,4,0,1,1,2,1,0,0,0,1,0,1,1,1,3,10,18
FJI,Fiji,PF,3,3,3,2,3,8,3,3,3,3,12,3,2,3,8,28,4,4,3,3,14,3,3,3,9,3,1,2,2,8,3,3,2,2,10,41,69
FIN,Finland,F,1,1,4,4,4,12,4,4,4,4,16,4,4,4,12,40,4,4,4,4,16,4,4,4,12,4,4,4,4,16,4,4,4,4,16,60,100
FRA,France,F,1,2,4,4,4,12,4,4,4,3,15,4,3,4,11,38,4,3,4,3,14,3,3,4,10,4,3,3,3,13,4,4,3,3,14,51,89
