country,rdi,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish,population
Finland,3.5,0.816,0.008,0.176,0.0,0.0,0.0,0.0,0.0,5360000
France,5.9,0.63,0.075,0.28,0.0,0.005,0.003,0.002,0.005,62790000
French Guiana,3.2,0.844,0.009,0.034,0.016,0.0,0.091,0.005,0.0,230000
French Polynesia,1.3,0.94,0.0,0.049,0.0,0.0,0.005,0.004,0.0,270000
Gabon,4.5,0.765,0.112,0.056,0.0,0.0,0.06,0.007,0.0,1510000
Gambia,1.1,0.045,0.951,0.0,0.0,0.0,0.001,0.0,0.0,1730000
Georgia,2.3,0.885,0.107,0.007,0.0,0.0,0.0,0.0,0.0,4350000
Germany,5.3,0.687,0.058,0.247,0.0,0.003,0.0,0.001,0.003,82300000
Ghana,4.7,0.749,0.158,0.042,0.0,0.0,0.049,0.002,0.0,24390000
Gibraltar,2.4,0.888,0.04,0.029,0.018,0.0,0.0,0.003,0.021,30000
Greece,2.5,0.881,0.053,0.061,0.001,0.0,0.001,0.0,0.0,11360000
Greenland,0.9,0.961,0.0,0.025,0.0,0.0,0.008,0.006,0.0,60000
Grenada,0.8,0.966,0.003,0.01,0.007,0.0,0.013,0.002,0.0,100000
Guadeloupe,0.9,0.959,0.004,0.025,0.005,0.0,0.004,0.004,0.0,460000
Guam,1.3,0.942,0.0,0.017,0.0,0.011,0.015,0.016,0.0,180000
Guatemala,1.1,0.952,0.0,0.041,0.0,0.0,0.006,0.0,0.0,14390000
Guinea,3.1,0.109,0.844,0.018,0.0,0.0,0.027,0.0,0.0,9980000
Guinea Bissau,7.5,0.197,0.451,0.043,0.0,0.0,0.309,0.0,0.0,1520000
Guyana,5.7,0.66,0.064,0.02,0.249,0.0,0.002,0.006,0.0,750000
Haiti,2.7,0.869,0.0,0.106,0.0,0.0,0.022,0.003,0.0,9990000
Honduras,2.5,0.876,0.001,0.105,0.0,0.001,0.011,0.006,0.0,7600000
Hong Kong,7.2,0.143,0.018,0.561,0.004,0.132,0.128,0.015,0.0,7050000
Hungary,3.5,0.81,0.0,0.186,0.0,0.0,0.0,0.0,0.001,9980000
Iceland,1.1,0.95,0.002,0.035,0.003,0.004,0.005,0.002,0.0,320000
India,4.0,0.025,0.144,0.0,0.795,0.008,0.005,0.023,0.0,1224610000
Indonesia,2.6,0.099,0.872,0.0,0.017,0.007,0.003,0.001,0.0,239870000
Iran,0.1,0.002,0.995,0.001,0.0,0.0,0.0,0.002,0.0,73970000
Iraq,0.2,0.008,0.99,0.001,0.0,0.0,0.0,0.0,0.0,31670000
Ireland,1.7,0.92,0.011,0.062,0.002,0.002,0.002,0.0,0.0,4470000
Isle of Man,3.1,0.841,0.002,0.154,0.002,0.0,0.0,0.0,0.0,80000
Israel,4.5,0.02,0.186,0.031,0.0,0.003,0.002,0.001,0.756,7420000
Italy,3.3,0.833,0.037,0.124,0.001,0.002,0.001,0.0,0.0,60550000
Ivory Coast,7.4,0.441,0.375,0.08,0.0,0.0,0.102,0.002,0.0,19740000
Jamaica,4.3,0.772,0.0,0.172,0.0,0.0,0.045,0.01,0.0,2740000
Japan,6.2,0.016,0.002,0.57,0.0,0.362,0.004,0.047,0.0,126540000
Jordan,0.6,0.022,0.972,0.0,0.001,0.004,0.0,0.0,0.0,6190000
Kazakhstan,5.0,0.248,0.704,0.042,0.0,0.002,0.003,0.001,0.0,16030000
Kenya,3.1,0.848,0.097,0.025,0.001,0.0,0.017,0.012,0.0,40510000
Kiribati,0.7,0.97,0.0,0.008,0.0,0.0,0.0,0.022,0.0,100000
Kosovo,2.6,0.114,0.87,0.016,0.0,0.0,0.0,0.0,0.0,2080000
Kuwait,4.8,0.143,0.741,0.0,0.085,0.028,0.0,0.003,0.0,2740000
Kyrgyzstan,2.4,0.114,0.88,0.004,0.0,0.0,0.001,0.0,0.0,5330000
Laos,5.4,0.015,0.0,0.009,0.0,0.66,0.307,0.007,0.0,6200000
Latvia,5.7,0.558,0.001,0.438,0.0,0.0,0.0,0.002,0.0,2250000
Lebanon,5.5,0.383,0.613,0.003,0.0,0.002,0.0,0.0,0.0,4230000
Lesotho,0.7,0.968,0.0,0.031,0.0,0.0,0.001,0.0,0.0,2170000
Liberia,2.8,0.859,0.12,0.014,0.0,0.0,0.005,0.001,0.0,3990000
Libya,0.7,0.027,0.966,0.002,0.0,0.003,0.0,0.0,0.0,6360000
Liechtenstein,1.7,0.919,0.05,0.029,0.0,0.0,0.0,0.0,0.001,40000
Lithuania,2.1,0.898,0.0,0.1,0.0,0.0,0.0,0.0,0.0,3320000
Luxembourg,4.9,0.704,0.023,0.268,0.0,0.0,0.0,0.003,0.001,510000
Macau,6.8,0.072,0.002,0.154,0.0,0.173,0.589,0.01,0.0,540000
Madagascar,3.0,0.853,0.03,0.069,0.0,0.0,0.045,0.0,0.0,20710000
Malawi,3.4,0.827,0.13,0.025,0.0,0.0,0.017,0.0,0.0,14900000
Malaysia,6.3,0.094,0.637,0.007,0.06,0.177,0.023,0.002,0.0,28400000
Maldives,0.4,0.004,0.984,0.0,0.003,0.006,0.0,0.0,0.0,320000
Mali,1.6,0.032,0.924,0.027,0.0,0.0,0.016,0.0,0.0,15370000
Malta,0.7,0.97,0.002,0.025,0.002,0.0,0.0,0.0,0.0,420000
Marshall Islands,0.6,0.975,0.0,0.015,0.0,0.0,0.003,0.008,0.0,50000
Martinique,0.8,0.965,0.002,0.023,0.002,0.0,0.002,0.006,0.0,410000
Mauritania,0.2,0.003,0.991,0.001,0.0,0.0,0.005,0.0,0.0,3460000
Mauritius,6.7,0.253,0.167,0.006,0.564,0.0,0.007,0.003,0.0,1300000
Mayotte,0.3,0.007,0.986,0.002,0.0,0.0,0.005,0.0,0.0,200000
Mexico,1.1,0.951,0.0,0.047,0.0,0.0,0.0,0.0,0.0,113420000
Moldova,0.6,0.974,0.006,0.014,0.0,0.0,0.0,0.0,0.006,3570000
Monaco,2.8,0.86,0.004,0.117,0.0,0.0,0.0,0.002,0.017,40000
Mongolia,6.5,0.023,0.032,0.359,0.0,0.551,0.035,0.0,0.0,2760000
Montenegro,4.0,0.781,0.187,0.032,0.0,0.0,0.0,0.0,0.0,630000
Montserrat,1.4,0.935,0.0,0.048,0.001,0.0,0.002,0.015,0.0,10000
Morocco,0.0,0.0,0.999,0.0,0.0,0.0,0.0,0.0,0.0,31950000
Mozambique,7.0,0.567,0.18,0.179,0.0,0.0,0.074,0.0,0.0,23390000
Namibia,0.6,0.975,0.003,0.019,0.0,0.0,0.002,0.0,0.0,2280000
Nauru,4.1,0.79,0.0,0.045,0.0,0.011,0.081,0.074,0.0,10000
Nepal,3.8,0.005,0.046,0.003,0.807,0.103,0.037,0.0,0.0,29960000
Netherlands,6.4,0.506,0.06,0.421,0.005,0.002,0.002,0.002,0.002,16610000
Netherlands Antilles,1.3,0.939,0.002,0.033,0.002,0.005,0.012,0.003,0.003,200000
New Caledonia,3.0,0.852,0.028,0.104,0.0,0.006,0.002,0.008,0.0,250000
New Zealand,6.2,0.57,0.012,0.366,0.021,0.016,0.005,0.007,0.002,4370000
Nicaragua,2.8,0.858,0.0,0.125,0.0,0.0,0.014,0.001,0.0,5790000
Niger,0.4,0.008,0.984,0.007,0.0,0.0,0.0,0.0,0.0,15510000
Nigeria,5.9,0.493,0.488,0.004,0.0,0.0,0.014,0.0,0.0,158420000
Niue,0.8,0.964,0.0,0.033,0.0,0.0,0.0,0.002,0.0,10000
North Korea,5.3,0.02,0.0,0.713,0.0,0.015,0.123,0.129,0.0,24350000
Northern Mariana Islands,3.7,0.813,0.007,0.01,0.0,0.106,0.053,0.011,0.0,60000
Norway,3.1,0.847,0.037,0.101,0.005,0.006,0.0,0.002,0.0,4880000
Oman,2.9,0.065,0.859,0.002,0.055,0.008,0.0,0.01,0.0,2780000
Pakistan,0.8,0.016,0.964,0.0,0.019,0.0,0.0,0.0,0.0,173590000
Palau,2.7,0.867,0.0,0.012,0.0,0.008,0.008,0.104,0.0,20000
Palestinian territories,0.5,0.024,0.976,0.0,0.0,0.0,0.0,0.0,0.0,4040000
Panama,1.5,0.93,0.007,0.048,0.0,0.002,0.004,0.004,0.004,3520000
Papua New Guinea,0.2,0.992,0.0,0.0,0.0,0.0,0.004,0.002,0.0,6860000
Paraguay,0.7,0.969,0.0,0.011,0.0,0.0,0.017,0.002,0.0,6450000
Peru,1.0,0.955,0.0,0.03,0.0,0.002,0.01,0.003,0.0,29080000
Philippines,1.6,0.926,0.055,0.001,0.0,0.0,0.015,0.001,0.0,93260000
Poland,1.2,0.943,0.0,0.056,0.0,0.0,0.0,0.0,0.0,38280000
Portugal,1.4,0.938,0.006,0.044,0.001,0.006,0.005,0.0,0.0,10680000
Puerto Rico,0.7,0.967,0.0,0.019,0.0,0.003,0.008,0.001,0.0,3750000
Qatar,5.7,0.138,0.677,0.009,0.138,0.031,0.0,0.007,0.0,1760000
Republic of Macedonia,5.6,0.593,0.393,0.014,0.0,0.0,0.0,0.0,0.0,2060000
Republic of the Congo,2.9,0.859,0.012,0.09,0.0,0.0,0.028,0.011,0.0,4040000
