iso3,country,rdi,christian,muslim,unaffiliated,hindu,buddhist,folk,other,jewish,population,dominant_religion,maj_christian,maj_muslim,maj_unaffiliated,maj_hindu,maj_buddhist,maj_folk,maj_other,maj_jewish
SWE,Sweden,5.4,0.672,0.046,0.27,0.002,0.004,0.002,0.002,0.001,9380000,christian,1,0,0,0,0,0,0,0
CHE,Switzerland,3.7,0.813,0.055,0.119,0.004,0.004,0.0,0.001,0.003,7660000,christian,1,0,0,0,0,0,0,0
SYR,Syria,1.6,0.052,0.928,0.02,0.0,0.0,0.0,0.0,0.0,20410000,muslim,0,1,0,0,0,0,0,0
TWN,Taiwan,8.2,0.055,0.0,0.127,0.0,0.213,0.442,0.162,0.0,23220000,folk,0,0,0,0,0,1,0,0
TJK,Tajikistan,0.7,0.016,0.967,0.015,0.0,0.0,0.0,0.0,0.0,6880000,muslim,0,1,0,0,0,0,0,0
TZA,Tanzania,5.7,0.614,0.352,0.014,0.001,0.0,0.018,0.0,0.0,44840000,christian,1,0,0,0,0,0,0,0
THA,Thailand,1.5,0.009,0.055,0.003,0.001,0.932,0.0,0.0,0.0,69120000,buddhist,0,0,0,0,1,0,0,0
TLS,Timor-Leste,0.1,0.996,0.001,0.0,0.0,0.0,0.001,0.0,0.0,1120000,christian,1,0,0,0,0,0,0,0
TGO,Togo,7.5,0.437,0.14,0.062,0.0,0.0,0.356,0.006,0.0,6030000,christian,1,0,0,0,0,0,0,0
TKL,Tokelau,0.0,0.998,0.0,0.0,0.0,0.0,0.0,0.002,0.0,10000,christian,1,0,0,0,0,0,0,0
TON,Tonga,0.3,0.989,0.0,0.0,0.001,0.0,0.0,0.009,0.0,100000,christian,1,0,0,0,0,0,0,0
TTO,Trinidad and Tobago,5.8,0.659,0.059,0.019,0.227,0.003,0.019,0.014,0.0,1340000,christian,1,0,0,0,0,0,0,0
TUN,Tunisia,0.1,0.002,0.995,0.002,0.0,0.0,0.0,0.0,0.0,10480000,muslim,0,1,0,0,0,0,0,0
TUR,Turkey,0.4,0.004,0.98,0.012,0.0,0.0,0.0,0.002,0.0,72750000,muslim,0,1,0,0,0,0,0,0
TKM,Turkmenistan,1.5,0.064,0.93,0.005,0.0,0.0,0.0,0.0,0.0,5040000,muslim,0,1,0,0,0,0,0,0
TCA,Turks and Caicos Islands,1.7,0.921,0.0,0.046,0.0,0.0,0.027,0.006,0.0,40000,christian,1,0,0,0,0,0,0,0
TUV,Tuvalu,0.7,0.967,0.001,0.013,0.0,0.0,0.0,0.019,0.0,10000,christian,1,0,0,0,0,0,0,0
VIR,U.S. Virgin Islands,1.1,0.948,0.001,0.037,0.004,0.0,0.0,0.006,0.003,110000,christian,1,0,0,0,0,0,0,0
UGA,Uganda,2.7,0.867,0.115,0.005,0.003,0.0,0.009,0.001,0.0,33420000,christian,1,0,0,0,0,0,0,0
UKR,Ukraine,3.1,0.838,0.012,0.147,0.0,0.0,0.0,0.0,0.001,45450000,christian,1,0,0,0,0,0,0,0
ARE,United Arab Emirates,4.4,0.126,0.769,0.011,0.066,0.02,0.0,0.008,0.0,7510000,muslim,0,1,0,0,0,0,0,0
GBR,United Kingdom,5.1,0.711,0.044,0.213,0.013,0.004,0.003,0.008,0.005,62040000,christian,1,0,0,0,0,0,0,0
USA,United States,4.1,0.783,0.009,0.164,0.006,0.012,0.002,0.006,0.018,310380000,christian,1,0,0,0,0,0,0,0
URY,Uruguay,5.7,0.579,0.0,0.407,0.0,0.0,0.008,0.003,0.003,3370000,christian,1,0,0,0,0,0,0,0
UZB,Uzbekistan,0.7,0.023,0.967,0.008,0.0,0.0,0.0,0.0,0.0,27440000,muslim,0,1,0,0,0,0,0,0
VUT,Vanuatu,1.5,0.933,0.0,0.012,0.0,0.0,0.041,0.014,0.0,240000,christian,1,0,0,0,0,0,0,0
VAT,Vatican City,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000,christian,1,0,0,0,0,0,0,0
VEN,Venezuela,2.2,0.893,0.003,0.1,0.0,0.0,0.002,0.0,0.0,28980000,christian,1,0,0,0,0,0,0,0
VNM,Vietnam,7.7,0.082,0.002,0.296,0.0,0.164,0.453,0.004,0.0,87850000,folk,0,0,0,0,0,1,0,0
WLF,Wallis and Futuna,0.6,0.974,0.0,0.006,0.0,0.0,0.012,0.008,0.0,10000,christian,1,0,0,0,0,0,0,0
ESH,Western Sahara,0.1,0.002,0.994,0.004,0.0,0.0,0.0,0.0,0.0,530000,muslim,0,1,0,0,0,0,0,0
YEM,Yemen,0.2,0.002,0.991,0.001,0.006,0.0,0.0,0.0,0.0,24050000,muslim,0,1,0,0,0,0,0,0
ZMB,Zambia,0.5,0.976,0.005,0.005,0.001,0.0,0.003,0.009,0.0,13090000,christian,1,0,0,0,0,0,0,0
ZWE,Zimbabwe,2.7,0.87,0.009,0.079,0.0,0.0,0.038,0.003,0.0,12570000,christian,1,0,0,0,0,0,0,0
