iso3,countryn,cow,vdem,male_suffrage,female_suffrage,executive_elections,legislative_elections,multi-party_legislative_elections,competitive_elections,lexical_index,political_liberties,lexical_index_plus,democratic_transition,transition_type,democratic_breakdown,breakdown_type,turnover_period,turnover_event,two_turnover_period,sovereign
BWA,Botswana,571,68,1,1,1,1,1,1,6,0,6,0,0,0,0,0,0,0,1
SWZ,Swaziland,572,132,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
MDG,Madagascar,580,125,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
COM,Comoros,581,153,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
MUS,Mauritius,590,180,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
SYC,Seychelles,591,199,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,0,1
MAR,Morocco,600,90,1,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1
DZA,Algeria,615,103,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
TUN,Tunisia,616,98,1,1,1,0,0,0,1,0,1,0,0,1,4,0,0,0,1
LBY,Libya,620,124,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SDN,Sudan,625,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
SSD,South Sudan,626,32,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
IRN,Iran,630,79,1,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1
TUR,Turkey,640,99,1,1,1,1,1,0,3,0,3,0,0,0,0,1,0,1,1
IRQ,Iraq,645,80,1,1,1,1,1,1,6,0,6,0,0,0,0,1,1,0,1
EGY,Egypt,651,13,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
SYR,Syria,652,97,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
LBN,Lebanon,660,44,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
JOR,Jordan,663,83,1,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1
ISR,Israel,666,169,1,1,1,1,1,1,6,0,6,0,0,0,0,1,1,1,1
PSE,Palestine/West Bank,667,128,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PSE,Palestine/Gaza,668,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAU,Saudi Arabia,670,197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
YEM,Yemen,679,14,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
KWT,Kuwait,690,171,1,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1
BHR,Bahrain,692,146,1,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1
QAT,Qatar,694,94,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
ARE,United Arab Emirates,696,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
OMN,Oman,698,187,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
AFG,Afghanistan,700,36,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TKM,Turkmenistan,701,136,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
TJK,Tajikistan,702,133,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
KGZ,Kyrgyzstan,703,122,1,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1
UZB,Uzbekistan,704,140,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
KAZ,Kazakhstan,705,121,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
CHN,China,710,110,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
MNG,Mongolia,712,89,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
TWN,Taiwan,713,48,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
PRK,"Korea, North",731,41,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1
KOR,"Korea, South",732,42,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
JPN,Japan,740,9,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
IND,India,750,39,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
BTN,Bhutan,760,53,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
PAK,Pakistan,770,29,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
BGD,Bangladesh,771,24,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
MMR,Myanmar,775,10,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1
LKA,Sri Lanka,780,131,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
MDV,Maldives,781,88,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
NPL,Nepal,790,58,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
THA,Thailand,800,49,1,1,0,1,1,0,2,0,2,0,0,0,0,0,0,0,1
KHM,Cambodia,811,55,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
LAO,Laos,812,123,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
VNM,Vietnam,816,34,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1
MYS,Malaysia,820,177,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,0,1
SGP,Singapore,830,200,1,1,1,1,1,0,3,0,3,0,0,0,0,0,0,0,1
BRN,Brunei,835,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
PHL,Philippines,840,46,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
IDN,Indonesia,850,56,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
TLS,East Timor,860,74,1,1,1,1,1,1,6,0,6,0,0,0,0,1,0,1,1
AUS,Australia,900,67,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
PNG,Papua New Guinea,910,93,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
NZL,New Zealand,920,185,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
VUT,Vanuatu,935,206,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
SLB,Solomon Islands,940,203,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
KIR,Kiribati,946,170,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
TUV,Tuvalu,947,205,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
FJI,Fiji,950,162,1,1,1,1,1,1,6,0,6,0,0,0,0,0,0,0,1
TON,Tonga,955,204,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
NRU,Nauru,970,184,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
MHL,Marshall Islands,983,179,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
PLW,Palau,986,188,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
FSM,Micronesia,987,181,1,1,1,1,1,1,6,1,7,0,0,0,0,1,0,1,1
WSM,Samoa,990,194,1,1,1,1,1,1,6,1,7,0,0,0,0,1,1,1,1
